,TATAMOTORS,ASHOKLEY,OLECTRA,FORCEMOT,SMLISUZU
Financial Year 2024,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0913b647-b205-4a3c-ad9b-8c493f97f972.pdf,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2ff1a8a1-f253-4fdb-afc0-2b9544fd5094.pdf,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9b3f1b35-0d83-4823-b8b9-7059a16e9658.pdf,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=166b4f52-cfae-4451-bdab-60d4d40b9aab.pdf,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c58fb40c-d2d3-4458-8df1-69efa24a9c9c.pdf
Financial Year 2023,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=\b089df52-72ff-4b10-9c63-8375fa1f7d7e.pdf,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=\81c97bce-6af2-475d-a4c3-5c76934179e1.pdf,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=\25f71815-93d6-4773-9b9a-62f67b65eddc.pdf,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=\81de859f-43d0-403d-8675-ab7266ad6a1b.pdf,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=\c4a408e6-7f8f-4311-bb7a-c0e703ccb88c.pdf
Financial Year 2022,https://www.bseindia.com/bseplus/AnnualReport/500570/73198500570.pdf,https://www.bseindia.com/bseplus/AnnualReport/500477/73509500477.pdf,https://www.bseindia.com/bseplus/AnnualReport/532439/75858532439.pdf,https://www.bseindia.com/bseplus/AnnualReport/500033/76367500033.pdf,https://www.bseindia.com/bseplus/AnnualReport/505192/74866505192.pdf
Financial Year 2021,https://www.bseindia.com/bseplus/AnnualReport/500570/68662500570_30_06_21.pdf,https://www.bseindia.com/bseplus/AnnualReport/500477/69484500477.pdf,https://www.bseindia.com/bseplus/AnnualReport/532439/71286532439.pdf,https://www.bseindia.com/bseplus/AnnualReport/500033/70781500033.pdf,https://www.bseindia.com/bseplus/AnnualReport/505192/68793505192.pdf
Financial Year 2020,https://www.bseindia.com/bseplus/AnnualReport/500570/5005700320.pdf,https://www.bseindia.com/bseplus/AnnualReport/500477/5004770320.pdf,https://www.bseindia.com/bseplus/AnnualReport/532439/5324390320.pdf,https://www.bseindia.com/bseplus/AnnualReport/500033/66535500033_08_09_20.pdf,https://www.bseindia.com/bseplus/AnnualReport/505192/5051920320.pdf
Financial Year 2019,https://www.bseindia.com/bseplus/AnnualReport/500570/5005700319.pdf,https://www.bseindia.com/bseplus/AnnualReport/500477/5004770319.pdf,https://www.bseindia.com/bseplus/AnnualReport/532439/5324390319.pdf,https://www.bseindia.com/bseplus/AnnualReport/500033/5000330319.pdf,https://www.bseindia.com/bseplus/AnnualReport/505192/5051920319.pdf
Financial Year 2018,https://www.bseindia.com/bseplus/AnnualReport/500570/5005700318.pdf,https://www.bseindia.com/bseplus/AnnualReport/500477/5004770318.pdf,https://www.bseindia.com/bseplus/AnnualReport/532439/5324390318.pdf,https://www.bseindia.com/bseplus/AnnualReport/500033/5000330318.pdf,https://www.bseindia.com/bseplus/AnnualReport/505192/5051920318.pdf
Financial Year 2017,https://www.bseindia.com/bseplus/AnnualReport/500570/5005700317.pdf,https://www.bseindia.com/bseplus/AnnualReport/500477/5004770317.pdf,https://www.bseindia.com/bseplus/AnnualReport/532439/5324390317.pdf,https://www.bseindia.com/bseplus/AnnualReport/500033/5000330317.pdf,https://www.bseindia.com/bseplus/AnnualReport/505192/5051920317.pdf
Financial Year 2016,https://www.bseindia.com/bseplus/AnnualReport/500570/5005700316.pdf,https://www.bseindia.com/bseplus/AnnualReport/500477/5004770316.pdf,https://www.bseindia.com/bseplus/AnnualReport/532439/5324390316.pdf,https://www.bseindia.com/bseplus/AnnualReport/500033/5000330316.pdf,https://www.bseindia.com/bseplus/AnnualReport/505192/5051920316.pdf
Financial Year 2015,https://www.bseindia.com/bseplus/AnnualReport/500570/5005700315.pdf,https://www.bseindia.com/bseplus/AnnualReport/500477/5004770315.pdf,https://www.bseindia.com/bseplus/AnnualReport/532439/5324390315.pdf,https://www.bseindia.com/bseplus/AnnualReport/500033/5000330315.pdf,https://www.bseindia.com/bseplus/AnnualReport/505192/5051920315.pdf
Financial Year 2014,https://www.bseindia.com/bseplus/AnnualReport/500570/5005700314.pdf,https://www.bseindia.com/bseplus/AnnualReport/500477/5004770314.pdf,https://www.bseindia.com/bseplus/AnnualReport/532439/5324390314.pdf,https://www.bseindia.com/bseplus/AnnualReport/500033/5000330314.pdf,https://www.bseindia.com/bseplus/AnnualReport/505192/5051920314.pdf
Financial Year 2013,https://www.bseindia.com/bseplus/AnnualReport/500570/5005700313.pdf,https://www.bseindia.com/bseplus/AnnualReport/500477/5004770313.pdf,https://www.bseindia.com/bseplus/AnnualReport/532439/5324390313.pdf,https://www.bseindia.com/bseplus/AnnualReport/500033/5000330313.pdf,https://www.bseindia.com/bseplus/AnnualReport/505192/5051920313.pdf
Financial Year 2012,https://www.bseindia.com/bseplus/AnnualReport/500570/5005700312.pdf,https://www.bseindia.com/bseplus/AnnualReport/500477/5004770312.pdf,https://archives.nseindia.com/annual_reports/AR_GOLDINFRA_2011_2012_18092012121801.zip,https://www.bseindia.com/bseplus/AnnualReport/500033/5000330312.pdf,https://archives.nseindia.com/annual_reports/AR_SMLISUZU_2011_2012_27062012100221.zip
Financial Year 2011,https://www.tatamotors.com/wp-content/uploads/2023/10/ar-10-11.pdf,https://www.bseindia.com/bseplus/AnnualReport/500477/5004770311.pdf,,https://www.bseindia.com/bseplus/AnnualReport/500033/5000330311.pdf,
Financial Year 2010,,https://archives.nseindia.com/annual_reports/AR_ASHOKLEY_2009_2010_18082010121500.zip,,https://www.bseindia.com/bseplus/AnnualReport/500033/5000330310.pdf,
